type,name,Photo,about,contactname,phone,email,address,city,state,county,Discipline,Amenities,language,rating,votes,timings,Mode of Payment,onlinebooking,Year Established,Linkedin,linktoprofile
Ayurveda,Pooja Maternity Nursing Home & Ent Center,https://images1-fabric.practo.com/532aa7022f9b1e5befbce9e63b12d44fb97369ec732d4.jpg/thumbnail,"Pooja maternity and nursing home exists since past 30 years now. We share special bond with all our mothers and babies, Since last 30 years. Well planned modern infrastructure. Highly professional team. more..",null,022 7187 3699,null,"Shree Santoshi Mata Coop HSG Society Kajupada Bridge Bhatwadi, Ghatkopar West. Landmark: Opp Sarswati Bank & Near Ashirwad Hotel.
Landmark: Near Jagruti Nagar Metro Station
Ghatkopar West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",5.0,(114 patient stories),null,null,https://www.practo.com/mumbai/hospital/pooja-maternity-nursing-home-and-ent-center-ghatkopar-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/pooja-maternity-nursing-home-and-ent-center-ghatkopar-west?specialization=Ayurveda
Ayurveda,Ashwini Ayurvedic Hopsital,https://images1-fabric.practo.com/practices/1271209/ashwini-ayurvedic-hopsital-mumbai-5de61523c3ffe.PNG/thumbnail,"In Mumbai, Ashwini Ayurvedic Hospital is a recognized name in patient care. It was incepted in the year 2001. They are one of the well-known Ayurvedic Hospitals in Mumbai. Backed with a vision to offer the best in patient care, they are one of the popular names in healthcare industry. Location: , more..",null,020 7118 7111,null,"Ashwini Ayurvedic Hospital Bungalow No. 260/275 RSC Road 1A, Gorai- 1 Borivali West, Mumbai
Landmark: Opp. Gorai Garden/Near Ganesh Mandir
Borivali West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Sat
09:00 AM - 09:00 PM",null,https://www.practo.com/mumbai/hospital/ashwini-ayurvedic-hopsital-research-centre-borivali-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/ashwini-ayurvedic-hopsital-research-centre-borivali-west?specialization=Ayurveda
Ayurveda,Dr. Jonwal's Niramay Ayush Panchkarm Health Institute & Research Hospital,https://images1-fabric.practo.com/dr-jonwals-niramay-ayush-panchkarm-health-instituteresearch-mumbai-1447151942-5641c9464e19a.JPG/thumbnail,"Dr. Jonwals Niramay Ayush Panchkarm Health Institute & Research Hospital is a Super Multi Speciality Hospital for Multiple Diseases in Borivali West, Mumbai. The hospital is visited by doctors like Dr. Laxman G Jonwal and Dr. Sunita Jonwal. Treatment Without Operation for Multiple Diseases. Experien more..",null,020 4855 2218,null,"Plot Number-30/221, Matoshree Bungalow, Charkop Sector 6
Landmark: Behind Ambe Mata Mandir & Near Chickuwadi Mhada Colony Bridge
Kandivali West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.5,(522 patient stories),"Mon - Sat
08:30 AM - 07:00 PM",null,https://www.practo.com/mumbai/hospital/dr-jonwal-s-niramay-ayush-panchkarm-health-institute-and-research-hospital-kandivali-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/dr-jonwal-s-niramay-ayush-panchkarm-health-institute-and-research-hospital-kandivali-west?specialization=Ayurveda
Ayurveda,Vivanta Hospital,https://images1-fabric.practo.com/practices/1146710/vivanta-hospital-mumbai-5a0d8867a100b.png/thumbnail,We are a 20-bed hospital with I.C.U units along with Laminar OT in order to offer the highest levels of medical care to our patients.Our wide arrays of medical server are available 24 hours a day throughout the year.Our highly specialized patient care adheras to the highest standard in city.As afami more..,null,022 4893 3641,null,"JP Residency, Chincholi Bunder Road, Malad (West)
Landmark: sunder nagar
Malad West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.5,(113 patient stories),"Mon - Sat
12:00 AM - 11:59 PM",null,https://www.practo.com/mumbai/hospital/vivanta-hospital-malad-west-2?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/vivanta-hospital-malad-west-2?specialization=Ayurveda
Ayurveda,Vinayak Maternity And General Hospital,https://images1-fabric.practo.com/5566f92cf18731244b63f10161a1c2ef8edc0bae5ba6f.jpg/thumbnail,Walk-in clinic,null,020 7117 3196,null,"A-101,Ground Floor,Vikas Park Building,Link Road,Mith Chowk,Malad West,Landmark: Opposite Uncle’s Kitchen.

Malad West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.0,(24 patient stories),"Mon - Sun
07:30 AM - 10:30 PM",null,https://www.practo.com/mumbai/hospital/vinayak-maternity-and-general-hospital-malad-west-1?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/vinayak-maternity-and-general-hospital-malad-west-1?specialization=Ayurveda
Ayurveda,Breach Candy Hospital,https://images1-fabric.practo.com/53a1712e8654996d6f2e7e1f705ab5e59c84a6dc009b2.jpg/thumbnail,"Breach Candy Hospital is a Multi Speciality Clinic in Breach Candy, Mumbai. The clinic is visited by gynecologist like Dr. Avan Dadina,Dr. Bhupendra more..",null,020 7117 3180,null,"# 60 A, Bhulabhai Desai Road, Breach Candy. Landmark: Next To Mahalakshmi Temple.

Breach Candy, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.0,(309 patient stories),null,null,https://www.practo.com/mumbai/hospital/breach-candy-hospital-2?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/breach-candy-hospital-2?specialization=Ayurveda
Ayurveda,Asian Cancer Institute,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Asian Cancer Institute provides overall care in prevention, treatment and management of cancer through Medical Oncology, Surgical Oncology, Pain & Palliative management and other allied supportive care.",null,020 7117 3225,null,"Off Eastern Express Highway
Landmark: Behind Everard Nagar & Near Somaiya Ayurvihar
Sion East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.5,(27 patient stories),null,null,https://www.practo.com/mumbai/hospital/asian-cancer-institute-sion?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/asian-cancer-institute-sion?specialization=Ayurveda
Ayurveda,SMT. K.G. Mittal Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"SMT. K.G. Mittal Hospital is an Ayurveda Hospital in Charni Road, Mumbai. The clinic is visited by doctors like Dr. Amit Nampalliwar. more..",null,020 7117 3180,null,"Netaji Subhash Road
Landmark: Opposite Government Press
Charni Road, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Fri, Sun
09:00 AM - 06:00 PM",null,https://www.practo.com/mumbai/hospital/smt-k-g-mittal-hospital-mumbai-charni-road?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/smt-k-g-mittal-hospital-mumbai-charni-road?specialization=Ayurveda
Ayurveda,Balaji Hospital-Mira Road,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Balaji Hospital-Mira Road is a Multi Speciality Clinic in Bhayandar East, Mumbai. The clinic is visited by doctors like Dr. Sevarin Posa,Dr. Nicky J more..",null,020 7117 3177,null,"First Floor, Sonam Ekta Building, Landmark : Opposite Golden Nest Circle, Mira Bhayander Road

Bhayandar East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Sun
09:00 AM - 09:00 PM",null,https://www.practo.com/mumbai/hospital/balaji-hospital-mira-road-mira-road?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/balaji-hospital-mira-road-mira-road?specialization=Ayurveda
Ayurveda,Atlantis Max Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Atlantis Max Hospital is a Multi Speciality Hospital in Kandivali West, Mumbai. The clinic is visited by doctors like Dr. Anuj Singh,Dr. Riddhi Shah more..",null,020 7117 3190,null,"Ground Floor, Kanchanganga Building, S.V. Road
Landmark: Beside Bal Bharathi School
Kandivali West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/hospital/atlantis-max-hospital-kandivali-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/atlantis-max-hospital-kandivali-west?specialization=Ayurveda
