name,product_id,price,brand,age,images,color,shoes sizes
Adidas Tennis HU Pharrell Beige 2017 Men,4503374200928,1199,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/73_23c20dc7-d811-4e46-8a67-d30d4a17d5d7.jpg?v=1595389200', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/74_f72c1a4a-d510-46db-94c7-2d004028354d.jpg?v=1595389201', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/75_6253c7ea-de48-4f22-bde1-bdbf96358602.jpg?v=1595389201', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/76_fb44b140-2979-4817-8663-ebfddca419e8.jpg?v=1595389201']",none,['Uk 6']
Converse Chuck Taylor All-Star 70s Ox Kith x Coca Cola Blue,6946228600981,3499,Converse,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/hisjdvhbisdf_qacdjh.jpg?v=1625918365', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/ecvusvrs_g008ji.jpg?v=1625918365']",none,['Uk 9']
Jordan 5 Retro Quai 54 White,6937585418389,3999,Jordan,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/hdfbhgfd_zqqafe.jpg?v=1625917709', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/ygfrhjvsdf_dybmzg.jpg?v=1625917709']",none,['Uk 10']
Jordan 3 Retro 5Lab3 Black,6967906533525,4499,Jordan,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/iuhdvfiu_iahyug.jpg?v=1625917244', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/dfgdfsbdfsgzdf_lhlz8e.jpg?v=1625917417', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/jhgvfdiugfv_kvskpm.jpg?v=1625917417']",none,['Uk 7']
adidas Superstar 1 Expression Project Playground,6936994513045,3499,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/Adi-Superstar-PPlayground.jpg?v=1624453873', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/vfigkd_zhnlxr.jpg?v=1625913733']",none,['Uk 11']
Nike Air max 90 Worldwide (W),6939773108373,3299,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/am90worldwide_rrabcl.jpg?v=1624527343', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/sadvwdav_jjudpf.jpg?v=1625913140']",none,['Uk 5']
Nike Sacai Blazer Low Dark Grey,6969550831765,4499,Nike,none,['//cdn.shopify.com/s/files/1/0003/2689/3632/products/uygguyf_wgfdye.jpg?v=1625910869'],none,['Uk 8']
Golf Le Fleur x Converse Gianno Ox,6937612419221,3499,Converse,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/gianno-black_ad27zo.jpg?v=1624461292', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/fncfhgdgf_qnea2q.jpg?v=1625909125']",none,['Uk 11']
Nike Air Max 95 Worldwide Pack Black,6937675006101,3999,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/am95worldwide_hy4i6j.jpg?v=1624461701', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/aerghvfras_r5a5vn.jpg?v=1625908971']",none,"['Uk 5.5', 'Uk 10']"
Nike Air Max 90 Gold Reptile (W),6937708953749,3299,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/am90reptile_tanqqx.jpg?v=1624462209', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/vgttgvr_jp4pho.jpg?v=1625908665']",none,"['Uk 4', 'Uk 6']"
