name,product_id,price,brand,age,images,color,shoes sizes
New Balance Men's 237 Black Sneaker,060601ACVZ4," R 1,299.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160650.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160650_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Converse Men's CTAS Yellow Sneaker,060609AABI9," R 1,199.95",Converse,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59059854.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59059854_01.jpg']]",Yellow,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 574 Grey Sneaker,060609AAAM5," R 1,699.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/58973770.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/58973770_01.jpg']]",Grey,"['6', '7', '8', '9', '10']"
Vans Men's Authentic Tan Sneaker,060601ACTL6, R 749.95,Vans,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59117157.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59117157_01.jpg']]",Tan,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 237 Cream Sneaker,060601ACVZ3," R 1,299.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160623.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59160623_01.jpg']]",Cream,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 237 White Sneaker,060609AAAM2," R 1,799.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/58973689.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/58973689_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 237 Blue Sneaker,060609AAAM0," R 1,799.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/58973688.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/58973688_01.jpg']]",Blue,"['6', '7', '8', '9', '10', '11']"
Nike Junior Air Force 1 LV8 S50 Natural Sneaker,060601ACIG5," R 1,699.95",Nike,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57727195.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57727195_01.jpg']]",Natural,"['3', '4', '5', '6']"
Nike Men's Blazer Mid '77 Tan Sneaker,060601ACKA2," R 2,099.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57740454.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57740454_01.jpg']]",Tan,"['6', '7', '8', '9', '10', '11']"
Nike Men's Blazer Mid '77 Blue Sneaker,060601ACJZ8," R 2,099.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57740201.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57740201_01.jpg']]",Blue,"['6', '7', '8', '9', '10', '11']"
