name,product_id,price,brand,age,images,color,shoes sizes
Instapump fury og - re//connect energize,680353,2999.00,Reebok,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2262578/original.jpg', 'http://assets.superbalistcdn.co.za/2262578/original.jpg']",ftwr white/chalk/glass blue,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
X-ray 2 square mid,715631,1599.00,PUMA,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2262072/original.jpg', 'http://assets.superbalistcdn.co.za/2262072/original.jpg']",Forest night-forest night-puma black,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
"Blazer mid '77 ""First Use""",684635,2099.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2259091/original.jpg', 'http://assets.superbalistcdn.co.za/2259091/original.jpg']",orange/white-deep royal blue,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12']"
Air Max 90 - white/volt-black-pure platinum,684650,2599.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2259041/original.jpg', 'http://assets.superbalistcdn.co.za/2259041/original.jpg']",white/volt-black-pure platinum,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 6.5', 'UK 7.5', 'UK 8.5', 'UK 9.5', 'UK 10.5', 'UK 11.5']"
Stan Smith,676002,1499.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2260558/original.jpg', 'http://assets.superbalistcdn.co.za/2260558/original.jpg']",core black/core black/ftwr white,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Retro GTS - black/white,684628,1199.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2259018/original.jpg', 'http://assets.superbalistcdn.co.za/2259018/original.jpg']",Black/White,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Retro GTS - gym red/white-black-matte aluminum,684630,1199.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2259026/original.jpg', 'http://assets.superbalistcdn.co.za/2259026/original.jpg']", gym red/white-black-matte aluminum,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
"Air Force 1 '07 LV8 ""First Use""",684642,2099.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2259074/original.jpg', 'http://assets.superbalistcdn.co.za/2259074/original.jpg']",university red/white-deep royal blue,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Nike air max 2090 - white/black-pure platinum-volt,684652,2799.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2258549/original.jpg', 'http://assets.superbalistcdn.co.za/2258549/original.jpg']",White/black-pure platinum-volt,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Air Force 1 '07 - black/black,624559,1899.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2258984/original.jpg', 'http://assets.superbalistcdn.co.za/2258984/original.jpg']",Black,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Retro GTS - white/midnight navy-matte aluminum,684629,1199.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2258589/original.jpg', 'http://assets.superbalistcdn.co.za/2258589/original.jpg']",White/midnight navy-matte aluminum,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
"Blazer mid '77 ""First Use""",684634,2099.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2259082/original.jpg', 'http://assets.superbalistcdn.co.za/2259082/original.jpg']",deep royal blue/white-orange,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12']"
Air Force 1 mid '07 - white/white,684637,2099.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2258989/original.jpg', 'http://assets.superbalistcdn.co.za/2258989/original.jpg']",White,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
"Air Force 1 '07 LV8 ""First Use""",684641,2099.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2259065/original.jpg', 'http://assets.superbalistcdn.co.za/2259065/original.jpg']",light stone/black-sail-university red,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
DBreak-type - light bone/orange-hemp-dk driftwood,684647,1699.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2258831/original.jpg', 'http://assets.superbalistcdn.co.za/2258831/original.jpg']",light bone/orange-hemp-dk driftwood,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Club C 85,740780,1099.00,Reebok,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2260105/original.jpg', 'http://assets.superbalistcdn.co.za/2260105/original.jpg']",Black/cdgry6/fiegol,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
Wild rider rollin' - wild rider rollin'- puma white-orange glow,715625,1899.00,PUMA,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2260324/original.jpg', 'http://assets.superbalistcdn.co.za/2260324/original.jpg']",Puma white-orange glow,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11']"
X-ray 2 square mid wtr - x-ray 2 square mid wtr - peacoat-peacoat-future blue-high risk red-puma silver,715630,1599.00,PUMA,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2260142/original.jpg', 'http://assets.superbalistcdn.co.za/2260142/original.jpg']",Peacoat-peacoat-future blue-high risk red-puma silver,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12']"
Court Vision low - white/game royal,684627,1199.00,Nike,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2258823/original.jpg', 'http://assets.superbalistcdn.co.za/2258823/original.jpg']",white/game royal,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Club workout - black/white/colsha,740783,1299.00,Reebok,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2253793/original.jpg', 'http://assets.superbalistcdn.co.za/2253793/original.jpg']",Black/white/colsha,"['UK 5', 'UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12']"
Run 60s 2.0 - fz0961 - core black/ftwr white/core black,676044,1199.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2250982/original.jpg', 'http://assets.superbalistcdn.co.za/2250982/original.jpg']",Core black/ftwr white/core black,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Court Tourino - ftwr white/core black,676020,1699.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2246002/original.jpg', 'http://assets.superbalistcdn.co.za/2246002/original.jpg']",Ftwr white/ftwr white/core black,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 14', 'UK 13']"
Court Tourino - core black/ftwr white,676021,1699.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2251300/original.jpg', 'http://assets.superbalistcdn.co.za/2251300/original.jpg']",Core black/ftwr white/ftwr white,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
ZX 1K Boost - crew navy/semi solar gold,676030,1699.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2251091/original.jpg', 'http://assets.superbalistcdn.co.za/2251091/original.jpg']",Crew navy/semi solar gold/crew navy,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12']"
NMD_R1 - ftwr white/sonic aqua,676038,2799.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2251288/original.jpg', 'http://assets.superbalistcdn.co.za/2251288/original.jpg']",Ftwr white/sonic aqua/ftwr white,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Courtphase - ftwr white/cloud white,676046,1399.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2251336/original.jpg', 'http://assets.superbalistcdn.co.za/2251336/original.jpg']",Ftwr white/ftwr white/cloud white,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
Retrovulc - ftwr white/core black/dove grey,676048,1199.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2251316/original.jpg', 'http://assets.superbalistcdn.co.za/2251316/original.jpg']",Ftwr white/core black/dove grey,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
"ZX 10,000 C - grey/sonic fuchsia/semi solar slime",676027,2499.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2251275/original.jpg', 'http://assets.superbalistcdn.co.za/2251275/original.jpg']",Grey Five / Sonic Fuchsia / Semi Solar Slime,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12']"
Bravada - fv8085 - core black/ftwr white,676041,1199.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2250897/original.jpg', 'http://assets.superbalistcdn.co.za/2250897/original.jpg']",Core black/ftwr white,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13']"
