name,Photo,about,degree,phone,email,address,specialization,yearofexperience,language,rating,clinicname,timings,onlinebooking,consultonline,linktoprofile
Mr James C Lee - Epworth Richmond & Knox Private,null,This Richmond doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Mr James C Lee - Epworth Richmond & Knox Private
		89 Bridge Road
		Richmond, VIC 3121		Phone: 03 9246 6466		Fax: (03) 9246 6488
	",null,Mr James C Lee - Epworth Richmond & Knox Private is a Richmond doctors practice in VIC.,This doctors practice in Richmond specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/james-lee-mr-wantirna-vic
Cabot Medical Centre,null,This Camden doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Cabot Medical Centre
		18-20 Broughton Street
		Camden, NSW 2570		Phone: 02 4655 4666		Fax: 02 4655 9047
	",null,Cabot Medical Centre is a Camden doctors practice in NSW.,"This doctors practice in Camden specialises in Aged Care,Eating Disorders,General Practice,Immunology,Natural Medicine,Skin Clinic.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/cabot-medical-centre-camden-nsw
Dr James McLean - Orthopaedic Surgeon,null,This Ashford doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Dr James McLean - Orthopaedic Surgeon
		Ashford Specialist Centre, 41 Anzac Highway
		Ashford, SA 5035		Phone: 08 8267 8292		Fax: 08 8267 2007
	",null,Dr James McLean - Orthopaedic Surgeon is a Ashford doctors practice in SA.,"This doctors practice in Ashford specialises in Orthopaedics,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/dr-james-mclean-orthopaedic-surgeon-ashford-sa
Dr James McLean - Orthopaedic Surgeon,null,This Bedford Park doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Dr James McLean - Orthopaedic Surgeon
		Flinders Private Hospital, 1 Flinders Drive
		Bedford Park, SA 5042		Phone: 08 8267 8292		Fax: 08 8267 2007
	",null,Dr James McLean - Orthopaedic Surgeon is a Bedford Park doctors practice in SA.,"This doctors practice in Bedford Park specialises in Orthopaedics,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/dr-james-mclean-orthopaedic-surgeon-bedford-park-sa
Dr James McLean - Orthopaedic Surgeon,null,This Elizabeth Vale doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Dr James McLean - Orthopaedic Surgeon
		Central Districts Hospital 25-37 Jarvis Road 
		Elizabeth Vale, SA 5112		Phone: 08 8267 8292		
	",null,Dr James McLean - Orthopaedic Surgeon is a Elizabeth Vale doctors practice in SA.,"This doctors practice in Elizabeth Vale specialises in Orthopaedics,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/dr-james-m-mclean-elizabeth-vale-sa
Dr James McLean - Orthopaedics,null,This North Adelaide doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Dr James McLean - Orthopaedics
		Memorial Medical Centre, Level 1, 1 Kermode Street
		North Adelaide, SA 5006		Phone: 08 8267 8292		Fax: 08 8267 2007
	",null,Dr James McLean - Orthopaedics is a North Adelaide doctors practice in SA.,"This doctors practice in North Adelaide specialises in Orthopaedics,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/dr-james-m-mclean-north-adelaide-sa
Nitai Medical and Cosmetic Centre,null,This Glenroy doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Nitai Medical and Cosmetic Centre
		5 Blucher Street
		Glenroy, VIC 3046		Phone: 03 9300 1244		Fax: (03) 9304 2519
	",null,Nitai Medical and Cosmetic Centre is a Glenroy doctors practice in VIC.,"This doctors practice in Glenroy specialises in Cosmetic Surgery,General Practice,Skin Clinic.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/nitai-medical-and-cosmetic-centre-glenroy-vic
100 Collins St Medical Centre,null,This Melbourne doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		100 Collins St Medical Centre
		2nd floor 100 Collins St
		Melbourne, VIC 3000		Phone: 03 96545600		
	",null,100 Collins St Medical Centre is a Melbourne doctors practice in VIC.,This doctors practice in Melbourne specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/100-collins-st-medical-centre
121 Medical Centre,null,This Cannonvale doctors practice is a Queensland doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		121 Medical Centre
		Unit 6/ 121 Shute Harbour Rd
		Cannonvale, QLD 4802		Phone: 07 49464622		
	",null,121 Medical Centre is a Cannonvale doctors practice in QLD.,This doctors practice in Cannonvale specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/121-medical-centre
1300 Med Clinic,null,This Nuriootpa doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		1300 Med Clinic
		Part Section 350 Research Rd
		Nuriootpa, SA 5355		Phone: 1300 633254		
	",null,1300 Med Clinic is a Nuriootpa doctors practice in SA.,This doctors practice in Nuriootpa specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/1300-med-clinic
2 Collins St Medical Centre,null,This St Albans doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		2 Collins St Medical Centre
		2-4 Collins St
		St Albans, VIC 3021		Phone: 03 93644111		
	",null,2 Collins St Medical Centre is a St Albans doctors practice in VIC.,This doctors practice in St Albans specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/2-collins-st-medical-centre
21st Century HealthCare Pty Ltd,null,This Balwyn North doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		21st Century HealthCare Pty Ltd
		115 Bulleen Rd
		Balwyn North, VIC 3104		Phone: 03 98570888		
	",null,21st Century HealthCare Pty Ltd is a Balwyn North doctors practice in VIC.,This doctors practice in Balwyn North specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/21st-century-healthcare-pty-ltd
