name,Photo,about,degree,phone,email,address,specialization,yearofexperience,language,rating,clinicname,timings,onlinebooking,consultonline,linktoprofile
Ajay Health Clinic,https://images1-fabric.practo.com/practices/1144784/ajay-health-clinic-delhi-5c5191aa2fc78.jpg,"Tilak Nagar, Delhi",MBBS,null,null,"Tilak Nagar, Delhi",Ayurveda,null,"eng,hindi",4.0,Ajay Health Clinic,null,https://www.practo.com/delhi/clinic/ajay-health-clinic-1-tilak-nagar?subscription_id=133853929&reach_subscription_id=133853929&specialization=Ayurveda&ad_id=239585146526113&show_all=true,https://www.practo.com/delhi/clinic/ajay-health-clinic-1-tilak-nagar?subscription_id=133853929&reach_subscription_id=133853929&specialization=Ayurveda&ad_id=239585146526113&show_all=true,https://www.practo.com/delhi/clinic/ajay-health-clinic-1-tilak-nagar?subscription_id=133853929&reach_subscription_id=133853929&specialization=Ayurveda&ad_id=239585146526113&show_all=true
Ajay Health Clinic,https://images1-fabric.practo.com/practices/1144784/ajay-health-clinic-delhi-5c5191aa2fc78.jpg,"Tilak Nagar, Delhi",MBBS,null,null,"Tilak Nagar, Delhi",Ayurveda,null,"eng,hindi",4.0,Ajay Health Clinic,null,https://www.practo.com/delhi/clinic/ajay-health-clinic-1-tilak-nagar/doctors?subscription_id=133853929&reach_subscription_id=133853929&specialization=Ayurveda&ad_id=239585146526113&show_all=true,https://www.practo.com/delhi/clinic/ajay-health-clinic-1-tilak-nagar/doctors?subscription_id=133853929&reach_subscription_id=133853929&specialization=Ayurveda&ad_id=239585146526113&show_all=true,https://www.practo.com/delhi/clinic/ajay-health-clinic-1-tilak-nagar/doctors?subscription_id=133853929&reach_subscription_id=133853929&specialization=Ayurveda&ad_id=239585146526113&show_all=true
Tyagi Nursing Home,https://images1-fabric.practo.com/practices/1179727/tyagi-nursing-home-delhi-5b2763c53913d.PNG/thumbnail,"Tilak Nagar, Delhi",MBBS,null,null,"Tilak Nagar, Delhi",Ayurveda,null,"eng,hindi",3.5,Tyagi Nursing Home,null,https://www.practo.com/delhi/hospital/tyagi-nursing-home-tilak-nagar?specialization=Ayurveda,https://www.practo.com/delhi/hospital/tyagi-nursing-home-tilak-nagar?specialization=Ayurveda,https://www.practo.com/delhi/hospital/tyagi-nursing-home-tilak-nagar?specialization=Ayurveda
Sandhyashi Hospital,https://images1-fabric.practo.com/practices/1261693/sandhyashi-hospital-delhi-5d2c3557a1dd0.png/thumbnail,"Bawana, Delhi",MBBS,null,null,"Bawana, Delhi",Ayurveda,null,"eng,hindi",null,Sandhyashi Hospital,null,https://www.practo.com/delhi/hospital/sandhyashi-hospital-bawana?specialization=Ayurveda,https://www.practo.com/delhi/hospital/sandhyashi-hospital-bawana?specialization=Ayurveda,https://www.practo.com/delhi/hospital/sandhyashi-hospital-bawana?specialization=Ayurveda
Sandhyashi Neuro Panchkarma,https://images1-fabric.practo.com/practices/1246792/sandhyashi-neuro-panchkarma-delhi-5e171e0ef3d9c.png/thumbnail,"Shalimar Bagh, Delhi",MBBS,null,null,"Shalimar Bagh, Delhi",Ayurveda,null,"eng,hindi",null,Sandhyashi Neuro Panchkarma,null,https://www.practo.com/delhi/hospital/sandhyashi-neuro-panchkarma-shalimar-bagh?specialization=Ayurveda,https://www.practo.com/delhi/hospital/sandhyashi-neuro-panchkarma-shalimar-bagh?specialization=Ayurveda,https://www.practo.com/delhi/hospital/sandhyashi-neuro-panchkarma-shalimar-bagh?specialization=Ayurveda
Maharishi Ayurveda Hospital,https://images1-fabric.practo.com/maharishi-ayurveda-hospital-delhi-1461934728-57235a88ee249.jpg/thumbnail,"Shalimar Bagh, Delhi",MBBS,null,null,"Shalimar Bagh, Delhi",Ayurveda,null,"eng,hindi",5.0,Maharishi Ayurveda Hospital,null,https://www.practo.com/delhi/hospital/maharishi-ayurveda-hospital-shalimar-bagh-2?specialization=Ayurveda,https://www.practo.com/delhi/hospital/maharishi-ayurveda-hospital-shalimar-bagh-2?specialization=Ayurveda,https://www.practo.com/delhi/hospital/maharishi-ayurveda-hospital-shalimar-bagh-2?specialization=Ayurveda
Jeevan Anmol Hospital,https://images1-fabric.practo.com/jeevan-anmol-hospital-delhi-1441619483-55ed5e1b49af2.png/thumbnail,"Mayur Vihar Ph-I, Delhi",MBBS,null,null,"Mayur Vihar Ph-I, Delhi",Ayurveda,null,"eng,hindi",3.0,Jeevan Anmol Hospital,null,https://www.practo.com/delhi/hospital/jeevan-anmol-hospital-mayur-vihar-ph-i?specialization=Ayurveda,https://www.practo.com/delhi/hospital/jeevan-anmol-hospital-mayur-vihar-ph-i?specialization=Ayurveda,https://www.practo.com/delhi/hospital/jeevan-anmol-hospital-mayur-vihar-ph-i?specialization=Ayurveda
Shri Ram Singh Hospital & Heart Institute,https://images1-fabric.practo.com/shri-ram-singh-hospital-heart-institute-delhi-1449588269-5666f62deafbc.png/thumbnail,"Krishna Nagar, Delhi",MBBS,null,null,"Krishna Nagar, Delhi",Ayurveda,null,"eng,hindi",null,Shri Ram Singh Hospital & Heart Institute,null,https://www.practo.com/delhi/hospital/shri-ram-singh-hospital-heart-institute-krishna-nagar-1?specialization=Ayurveda,https://www.practo.com/delhi/hospital/shri-ram-singh-hospital-heart-institute-krishna-nagar-1?specialization=Ayurveda,https://www.practo.com/delhi/hospital/shri-ram-singh-hospital-heart-institute-krishna-nagar-1?specialization=Ayurveda
Bapu Nature Cure Hospital & Yogashram,https://images1-fabric.practo.com/practices/687782/bapu-nature-cure-hospital-yogashram-delhi-5a12c1b91b2c3.png/thumbnail,"Mayur Vihar Ph-I, Delhi",MBBS,null,null,"Mayur Vihar Ph-I, Delhi",Ayurveda,null,"eng,hindi",3.5,Bapu Nature Cure Hospital & Yogashram,null,https://www.practo.com/delhi/hospital/babu-nature-care-hospital-yogeshram-patparganj?specialization=Ayurveda,https://www.practo.com/delhi/hospital/babu-nature-care-hospital-yogeshram-patparganj?specialization=Ayurveda,https://www.practo.com/delhi/hospital/babu-nature-care-hospital-yogeshram-patparganj?specialization=Ayurveda
BNCHY Wellness Medispa,https://images1-fabric.practo.com/practices/1167777/bnchy-wellness-medispa-delhi-5a1291700de8e.png/thumbnail,"Mayur Vihar Ph-I, Delhi",MBBS,null,null,"Mayur Vihar Ph-I, Delhi",Ayurveda,null,"eng,hindi",null,BNCHY Wellness Medispa,null,https://www.practo.com/delhi/hospital/bnchy-wellness-medispa-mayur-vihar-ph-i?specialization=Ayurveda,https://www.practo.com/delhi/hospital/bnchy-wellness-medispa-mayur-vihar-ph-i?specialization=Ayurveda,https://www.practo.com/delhi/hospital/bnchy-wellness-medispa-mayur-vihar-ph-i?specialization=Ayurveda
